site_no,cluster,latitude,longitude,action_aep,flood_aep,moderate_aep,major_aep
06471500,4,45.6560866,-98.4970402,0.22026704597425012,0.20249101303817546,0.15202634607522497,0.09831657174115005
06473000,4,44.99830768,-98.480927,0.3329477912260695,0.2368848570452587,0.1982203450199732,0.129917694419737
06475000,4,44.91053097,-98.4720386,0.18075047385145096,0.16652079238110903,0.10622308619096751,0.0644854129296631
06477000,4,43.9738721,-98.070916,0.5533100123045344,0.4417223276851631,0.25209369414867605,0.04129609596144364
06477500,4,43.77640219,-98.2456658,0.4833555086573982,0.42039511473599256,0.1386348120356654,0.06957647606490136
06478690,4,43.415639,-97.204861,0.3452693280325395,0.2904630128613668,0.22226181008054877,0.07982759932592104
06479215,4,45.18079549,-97.1861904,0.6024846069526063,0.31480474483552945,0.16983721189385412,0.07757923859270312
06479438,4,45.0060753,-97.1650756,0.43605439788742845,0.23773359579313164,0.09945255813908749,0.026766507863972135
06479500,4,44.94246436,-97.1461856,0.4161782514851823,0.29184780777355673,0.13681668554822177,0.016505466802346463
06479525,4,44.7315478,-97.0446518,0.7314561609187678,0.602238619252576,0.2656767728638037,0.0038005039095663673
06479770,4,44.4675224,-96.8874204,0.6774676293355407,0.5099324375114561,0.22769921816519978,0.006279274444706097
06480000,4,44.1802473,-96.749496,0.6074178086995438,0.5290910322555613,0.3847652575665209,0.005482706380443593
06481000,4,43.79044595,-96.7456623,0.5088415559358064,0.419703998088818,0.2223925141516298,0.1330562436133774
06481480,4,43.8481959,-96.8368313,0.14539817405016142,0.05644529597987235,0.033188798529369165,0.033188798529369165
06481500,4,43.53358676,-96.7908849,0.38082908934993226,0.23309541508376583,0.09007672357738612,0.0509185220693237
06483290,4,43.42313889,-96.1649167,0.8277143021848773,0.6336795522776364,0.3859058099452545,0.22848245741380668
06483500,4,43.2150833,-96.2950278,0.4690431825122195,0.32367920443069825,0.24680153611860453,0.12018547168100106
06485500,4,42.8375091,-96.5619306,0.7448200318805933,0.5902647327380028,0.38322913117417123,0.20919246501927918
06600100,4,42.98280556,-96.0003333,0.5860483030553324,0.4452614540626385,0.2425648332075191,0.04666379525073644
06600900,4,42.14819167,-96.48358056,0.3179944857809021,0.24857691709320254,0.14478909400245923,0.10797539312047498
06601000,4,42.32140833,-96.48793056,0.16436673607882513,0.12398163372146963,0.05547685462812451,0.04810532690800713
06605000,4,43.12766667,-95.2104444,0.8082466695475673,0.7195482297056017,0.5481758502656295,0.3838423392270654
06709000,6,39.43831639,-104.98306724,0.32215496021672185,0.22022533919046783,0.09139703231893599,0.05721881484523142
06712000,6,39.3558234,-104.7633092,0.17915109734194554,0.05642128414227642,0.05964927432285822,0.05964927432285822
06714800,6,39.68720955,-105.7002821,0.02886637294804014,0.02886637294804014,0.02886637294804014,0.02886637294804014
06769525,7,40.72898611,-99.39861667,0.5458562607679458,0.4771800252456319,0.3394434554386635,0.014147473963285757
06772898,4,41.29734722,-97.71403056,0.3745462949656774,0.249942870246477,0.07556465887921372,0.07556465887921372
06773500,4,41.32923333,-97.67545,0.30033744538132173,0.19211253779890589,0.001617867782105233,0.001617867782105233
06775500,4,41.83110278,-100.10086667,0.003002606191881,0.07445102401617153,0.07445102401617153,0.07445102401617153
06784000,4,41.03232778,-98.74045556,0.2107630774178793,0.1644844776765609,0.0165128643747531,0.0165128643747531
06785000,4,41.20394444,-98.44635833,0.07686278485445237,0.00644721615422856,0.012137827711786653,0.00404356812551953
06786000,4,41.77693333,-99.37970278,0.08599511620985888,0.01374721344648572,0.0016564565181561184,0.0016564565181561184
06790500,4,41.26334596,-98.449236,0.1852166324427567,0.18822257133250922,0.02458210829014174,0.014225770118882645
06793000,4,41.41751389,-97.722925,0.25597171637908317,0.2635026954115292,0.08475285800955024,0.03803221671052481
06794000,4,41.44065833,-97.73466667,0.2928196659952183,0.1582393588580793,0.062377549859321965,0.02466711911635368
06794650,4,41.35194444,-97.4033333,0.6565330276843452,0.35091038521942647,0.019440407739092246,0.017031027961346885
06795500,4,41.52596389,-97.28159722,0.28425845737734007,0.21447886963126347,0.17413921721439443,0.016033428059566854
06797500,4,42.26858333,-98.33955556,0.14941309425833554,0.08825024424639896,0.05201428636777633,0.012515575377363695
06799000,4,42.00377778,-97.4260278,0.12214077949532183,0.05816845226812373,0.04057474793771929,0.005946726991227603
06799315,4,41.99499444,-97.05880556,0.39147035704360256,0.14053575822821798,0.05138898952902999,0.029962898439339226
06799350,4,41.83963611,-96.72741111,0.5467279446764243,0.2977000481299168,0.015447973509050807,0.0057410978459195
06803510,4,40.893219,-96.681672,0.24557828198940065,0.13269922651753524,0.026305383576860793,0.010039627745481904
06803520,4,40.857167,-96.595128,0.33993543649175634,0.2568299937519701,0.0021029161195941374,0.0002366242776114843
06803530,4,41.015853,-96.544561,0.2617987587969594,0.18976257610473662,0.12358860997557139,0.11308258588143505
06813000,7,40.33941667,-95.4068333,0.9234277239776567,0.7827314499197233,0.7454172635120565,0.28230432896514485
06814000,7,39.9477773,-96.1086149,0.6723653979210679,0.45463940285866833,0.14479955163130748,0.05366653823826036
06817000,4,40.7432222,-95.0145278,0.2616431719796128,0.11990774639973568,0.02396885034803139,0.011922288005471206
06819185,3,40.6609722,-94.7163056,0.7353790822899581,0.0,0.0,0.0
06821500,7,40.017733,-101.995956,0.4060208085469855,0.4060208085469855,0.4060208085469855,0.4060208085469855
06824500,7,40.033783,-101.543058,0.7506830134465959,0.5282858973787737,0.21904698396473254,0.0859378972242609
06836500,7,40.14583333,-100.67386667,0.2444693535354838,0.152828765209531,0.09347076092651116,0.05847643966586183
06845110,7,40.0016,-99.9924889,0.12255739328408576,0.08043640655192581,0.04609018955063598,0.04609018955063598
06846500,7,39.98500557,-100.560148,0.1540120094362043,0.1540120094362043,0.1540120094362043,0.1540120094362043
06847000,7,40.1200068,-99.8934566,0.32971940638110797,0.20931664683143178,0.08916147756942168,0.02229042395751134
06847500,7,40.11849167,-99.51707222,0.19402242048865162,0.146240535728286,0.0949484068845546,0.058912011697036935
06847900,7,39.769727,-100.1006875,0.4233457548427889,0.3427441194897278,0.28759074549242414,0.16790153022816628
06853800,7,39.89918,-98.2503276,0.5950315194220284,0.4533039203520093,0.07107430647785751,0.07107430647785751
06860000,7,38.7947354,-100.8584796,0.40002058885566555,0.20474062070308957,0.0507106761201744,0.0507106761201744
06861000,7,38.80778889,-100.0222667,0.46755436913520687,0.2980993422536164,0.1061401444606138,0.1061401444606138
06863500,7,38.852234,-99.3181589,0.3730805092072954,0.1628902915204306,0.10170251298979457,0.06806480802288489
06867000,7,38.9658611,-98.8540917,0.37393293142534434,0.20455500109075284,0.0803749717684079,0.03548259347922116
06869950,7,38.8444476,-97.6683699,0.27673985871384116,0.23061071344753245,0.14196912985067545,0.002116354567705273
06871000,7,39.67284444,-99.3092389,0.43572006718563533,0.25265687034996104,0.04611731201759753,0.01604300706302889
06871500,7,39.56028889,-99.2855722,0.29633131007805513,0.2624476632028686,0.1426969153959215,0.024868009306223578
06873000,7,39.37667456,-99.5801096,0.5234161310862954,0.37306632547223745,0.2012506440857524,0.05867927943372013
06878000,7,39.031109,-97.0402922,0.844922512542581,0.5902250886054438,5.4169853109958334e-08,5.4169853109958334e-08
06884200,7,39.81361476,-97.0375267,0.824862709239921,0.602901233141165,0.5499861390296268,0.019724092539845178
06885500,7,39.68194349,-96.4427888,0.9011218886213644,0.7365680029025441,0.18782718686667105,0.001390759365067336
